Organisation,Gruppierung,Bezug_zu_iCity,Ergaenzung_Bezug,Hauptthemen,Nebenthemen,Relevante_HFT_Themen,Homepage,Strasse,PLZ,Ort,Land,Bundesland
M.O.S.S. Computer Grafik Systeme GmbH,KMU,iCity Teilprojekt,UDigiT4iCity,Geoinformatik,intelligente Geo- und IT-Lösungen,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",,Hohenbrunner Weg 13,82024,Taufkirchen,Deutschland,BW
Ministerium für Finanzen Baden-Württemberg,Politik/Verwaltung,iCity Beirat,,Politik,,Energie,,Neues Schloss - Schlossplatz 4,70173,Stuttgart,Deutschland,BW
Ministerium für Ländlichen Raum und Verbraucherschutz ,Politik/Verwaltung,iCity Beirat,,Politik,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",,Kernerpl. 10,70182,Stuttgart,Deutschland,BW
Ministerium für Verkehr Baden-Württemberg,Politik/Verwaltung,iCity Teilprojekt,EMO4iCity,Vekehr,,"Mobilität, Bau- und Stadtentwicklung",,Dorotheenstraße 8,70173,Stuttgart,Deutschland,BW
Robert Bosch GmbH,Großunternehmen,iCity Lenkungsausschuss,,Industrie,Facilitymanagement,Energie,,FCM2-Si / Postfach 30 02 40,70442,Stuttgart,Deutschland,BW
Robert Bosch GmbH,Großunternehmen,iCity Teilprojekt,SenSim4iCity,,,Energie,,FCM2-Si / Postfach 30 02 40,70442,Stuttgart,Deutschland,BW
Schöck Bauteile GmbH,Großunternehmen,iCity Teilprojekt,DiaOpt4iCity,"Baumaterialien, Bauphysik",,Bau- und Stadtentwicklung,https://www.schoeck.com/de/home,Vimbucher Straße 2,76534,Baden-Baden,Deutschland,BW
Schüco International KG,Großunternehmen,iCity Lenkungsausschuss,,Bauzulieferer,"Fenster-, Fassadentechnologie, Türen, Smart Home",Bau- und Stadtentwicklung,,Karolinenstraße 1-15,33609,Bielefeld,Deutschland,NRW
Solawi Heckengäu eG,Genossenschaft,Assoziierter iCity Partner,,Solidarische Landwirtschaft,,"Bildung, Arbeit und Gesellschaft",,,,,,
SoundPLAN GmbH,KMU,iCity Lenkungsausschuss,,Lärmsimulationssoftware,Lärmsimulationssoftware,Bau- und Stadtentwicklung,https://www.soundplan.eu/de/,Etzwiesenberg 15,71522,Backnang,Deutschland,BW
SoundPLAN GmbH,KMU,iCity Teilprojekt,SenSim4iCity,Lärmsimulationssoftware,Lärmsimulationssoftware,"Bau- und Stadtentwicklung, Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.soundplan.eu/de/,Etzwiesenberg 15,71522,Backnang,Deutschland,BW
Stadtwerke Ludwigsburg-Kornwestheim GmbH,Energieversorger,iCity Teilprojekt,SenSim4iCity,"Energie, IT",,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.swlb.de/,Gänsefußallee 23,71636,Ludwigsburg,Deutschland,BW
Stadtwerke Stuttgart GmbH,Großunternehmen,iCity Beirat,,Energieversorger,"Energieanbieter für Ökostrom, Bio- und Erdgas in Stuttgart",Energie,,Friedrichstraße 45,70173,Stuttgart,Deutschland,BW
Stadtwerke Stuttgart GmbH,Großunternehmen,iCity Teilprojekt,EMO4iCity,Energieversorger,"Energieanbieter für Ökostrom, Bio- und Erdgas in Stuttgart","Mobilität, Bau- und Stadtentwicklung",www.stadtwerke-stuttgart.de,Friedrichstraße 45,70173,Stuttgart,Deutschland,BW
Stuttgart Netze Betrieb GmbH,Großunternehmen,iCity Beirat,,Energieversorger,Eigentümer und Betreiber der Elektrizitätsverteilnetze in Stuttgart; Kooperationsunternehmen der Stadtwerke Stuttgart und der Netze BW GmbH,Energie,,Stöckachstrasse 48,70190,Stuttgart,Deutschland,BW
Technische Betriebe Solingen,Abfall und Entsorgung,iCity Teilprojekt,UDigiT4iCity,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.solingen.de/tbs/,Dültgenstaler Straße 61,42719,Solingen,Deutschland,NRW
Technische Hochschule Ingolstadt,"Hochschule, Forschung",FH-Impuls,SAFIR  ,,,Mobilität,https://www.thi.de/forschung/forschungs-und-transferprojekte/safir/,Esplanade 10,85049,Ingolstadt,Deutschland,
TransnetBW GmbH,Energieversorgung,Assoziierter iCity Partner,,,,Energie,www.transnetbw.de,"Pariser Platz, Osloer Str. 15-17",70173,Stuttgart,Deutschland,BW
"Urban Structure Visualization Promotion Organization (Fukuoka, Japan), ",,iCity Teilprojekt,UDigiT4iCity,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",,"5-10-201 Suzaki, Hakata-ku, Fukuoka, Japan",,Fukuoka,Japan,
Ventecon Technologies GmbH,KMU /Start up,Assoziierter iCity Partner,,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://ventecon.de/,Haid-und-Neu-Straße 7,76131,Karlsruhe,Deutschland,BW
Vereinigung Baden-Württembergische Wertpapierbörse e.V Stuttgart Financial,Verein,iCity Beirat,,Wirtschaft,"Sustainable Finance, Startup-Förderung, Innovation, HR/Bildung","Bildung, Arbeit und Gesellschaft",,Börsenstraße 4,70174,Stuttgart,Deutschland,BW
Vermessungsbüro Schwing & Dr. Neureither,KMU,iCity Teilprojekt,DiaOpt4iCity,,,"Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://www.vermessung-schwing-dr-neureither.de/,Schmelzweg 4,74821,Mosbach,Deutschland,BW
virtualcitySYSTEMS GmbH (Tochter der CADFEM Unternehmensgruppe),KMU,iCity Teilprojekt,UDigiT4iCity,Geoinformatik ,"digitale Stadtmodelle, urbane Simulationen","Wirtschaft, Digitalisierung 4.0 und Dienstleistungen",https://vc.systems/,Tauentzienstrasse 7b/c,10789,Berlin,Deutschland,B
"Vizepräsidentin AKBW, Bürgermeisterin Stadt Fellbach",Politik/Verwaltung,iCity Beirat,,Öffentliche Verwaltung,,Bau- und Stadtentwicklung,,"Marktplatz 1

",70734,Fellbach,Deutschland,BW
Wirtschaftsförderung Region Stuttgart GmbH (WRS),Großunternehmen,iCity Beirat,,Wirtschaft,,"Bildung, Arbeit und Gesellschaft",,Friedrichstraße 10,70174,Stuttgart,Deutschland,BW
Wirtschaftsförderung Region Stuttgart GmbH (WRS),Großunternehmen,iCity Beirat,,Verband,,"Bildung, Arbeit und Gesellschaft",,Friedrichstraße 10,70174,Stuttgart,Deutschland,BW
"Zentrum für Sonnenenergie- und Wasserstoff-
Forschung Baden-Württemberg
",Forschung,iCity Beirat,,Forschung,"Photovoltaik, Regenerative Kraftstoffe, Batterien, H2 und Brennstoffzellen, Systemanalyse, Netzintegration und Mobilität",Energie,https://www.zsw-bw.de/,Meitnerstraße 1,70563,Stuttgart,Deutschland,BW
